rank,name,num_filem
1,Steven Spielberg,36
2,Anthony Russo,7
3,Joe Russo,8
4,Peter Jackson,14
5,Michael Bay,16
6,James Cameron,14
7,David Yates,8
8,Christopher Nolan,13
9,J.J. Abrams,6
10,Tim Burton,19
11,Robert Zemeckis,22
12,Jon Favreau,9
13,Ron Howard,33
14,Ridley Scott,31
15,Chris Columbus,16
16,Roland Emmerich,15
17,Bryan Singer,10
18,Pierre Coffin,4
19,James Wan,10
20,Gore Verbinski,11
21,George Lucas,6
22,Brad Bird,6
23,Francis Lawrence,9
24,Clint Eastwood,39
25,Sam Raimi,15
26,Chris Renaud,5
27,Todd Phillips,10
28,Zack Snyder,12
29,M. Night Shyamalan,13
30,Sam Mendes,9
31,Carlos Saldanha,7
32,Bill Condon,12
33,Justin Lin,11
34,Joss Whedon,4
35,Tom McGrath,7
36,Andrew Stanton,4
37,Shawn Levy,13
38,Chris Buck,2
39,Jennifer Lee,2
40,Guy Ritchie,16
41,Andrew Adamson,6
42,Conrad Vernon,7
43,John Lasseter,6
44,Eric Darnell,5
45,Barry Sonnenfeld,12
46,Steven Soderbergh,34
47,Jon Turteltaub,11
48,Pete Docter,4
49,F. Gary Gray,13
50,Kyle Balda,3
51,Jake Kasdan,7
52,Brett Ratner,12
53,Martin Scorsese,30
54,Rob Marshall,7
55,Tony Scott,16
56,David Fincher,11
57,Andy Wachowski,7
58,Martin Campbell,14
59,James Mangold,12
60,Rich Moore,3
61,Jon Watts,6
62,Rob Minkoff,8
63,Byron Howard,4
64,Quentin Tarantino,11
65,Richard Donner,18
66,Raja Gosnell,11
67,Lee Unkrich,2
68,Chen Sicheng,5
69,James Gunn,7
70,Wolfgang Petersen,11
71,Rian Johnson,6
72,Ivan Reitman,15
73,Dennis Dugan,15
74,Jay Roach,13
75,Mike Newell,16
76,Garry Marshall,18
77,Ron Clements,6
78,Mike Mitchell,8
79,Joe Johnston,11
80,John Musker,5
81,Peyton Reed,7
82,Tsui Hark,10
83,Christopher McQuarrie,5
84,Ang Lee,14
85,Colin Trevorrow,5
86,Kenneth Branagh,20
87,Rob Letterman,7
88,Joel Schumacher,23
89,Paul W.S. Anderson,13
90,Alfonso CuarÃ³n,8
91,David Leitch,5
92,Dean DeBlois,5
93,Marc Forster,11
94,Juan Antonio Bayona,4
95,Gareth Edwards,4
96,Robert Rodriguez,24
97,Paul Greengrass,10
98,Peter Berg,12
99,Tom Shadyac,8
100,Kaige Chen,8
rank,name,num_filem
101,Marc Webb,7
102,Stephen Sommers,8
103,Ryan Coogler,4
104,Peter Farrelly,16
105,Doug Liman,13
106,Chris Weitz,8
107,Kelly Asbury,5
108,Shane Black,5
109,Jon M. Chu,10
110,Steve Martino,4
111,Bobby Farrelly,12
112,Chris Sanders,4
113,Hao Ning,5
114,Matthew Vaughn,8
115,Rob Cohen,14
116,Tim Story,15
117,Matt Reeves,6
118,Edward Zwick,14
119,Genndy Tartakovsky,3
120,Antoine Fuqua,21
121,Barry Levinson,27
122,Chris Miller,4
123,Nancy Meyers,6
124,Kirk Wise,5
125,John Woo,14
126,Brad Peyton,8
127,Woody Allen,49
128,Louis Leterrier,9
129,Oliver Stone,20
130,Lana Wachowski,7
131,Sylvester Stallone,8
132,Joachim Ronnin,2
133,Hu Guan,5
134,Sydney Pollack,17
135,Luc Besson,15
136,Jan De Bont,6
137,John McTiernan,11
138,George Miller,13
139,Phil Lord,6
140,Christopher Miller,5
141,Phillip Noyce,15
142,Scott Derrickson,7
143,Jennifer Yuh Nelson,3
144,Paul Feig,9
145,Ruben Fleischer,6
146,Peter Segal,11
147,Guillermo del Toro,15
148,Dante Lam,7
149,Renny Harlin,23
150,Gary Ross,5
151,Adam Shankman,10
152,Roger Allers,3
153,Michael Apted,25
154,Joel Coen,19
155,Simon West,12
156,Mel Gibson,7
157,Ryan Fleck,5
158,Anna Boden,4
159,Hayao Miyazaki,11
160,David Ayer,10
161,David Silverman,3
162,Robert Schwentke,8
163,Joseph McGinty Nichol,10
164,Alan Taylor,4
165,Zhang Yimou,18
166,Josh Cooley,2
167,Wu Jing,2
168,Paul Verhoeven,13
169,Jonathan Liebesman,4
170,Denis Villeneuve,8
171,Lasse HallstrÃ¶m,17
172,Patty Jenkins,4
173,Mike Nichols,18
174,Michael Mann,13
175,Brian De Palma,24
176,Tim Miller,2
177,Jaume Collet-Serra,9
178,Tyler Perry,23
179,Stephen Chow,6
180,Betty Thomas,7
181,Tom Hooper,5
182,Frank Coraci,9
183,Taika Waititi,11
184,Chris Williams,3
185,Francis Ford Coppola,23
186,Tim Johnson,5
187,John Landis,18
188,Danny Boyle,15
189,Rawson Marshall Thurber,6
190,Rob Reiner,20
191,Andy Tennant,10
192,Gary Trousdale,3
193,Adrian Lyne,10
194,Andrew Davis,11
195,Adam McKay,9
196,Wes Ball,4
197,Muye Wen,3
198,Xu Zheng,5
199,James Foley,13
200,Baz Luhrmann,7
201,Jerry Zucker,6
202,Guo Fan,2
203,Paul Weitz,12
204,Wes Craven,20
205,John Glen,7
206,Brian Levant,10
207,Kevin Lima,5
208,D.J. Caruso,15
209,Mark Waters,12
210,Will Gluck,7
211,Michael Thurmeier,1
212,Nora Ephron,7
213,Peter Weir,12
214,Alejandro Gonzalez Inarritu,6
215,Vicky Jenson,4
216,David O. Russell,10
217,Seth MacFarlane,3
218,Andres Muschietti,3
219,Chuck Russell,8
220,Jia Ling,1
221,John Badham,14
222,Nicholas Stoller,8
223,David F. Sandberg,6
224,Don Hall,3
225,Espen Sandberg,4
226,David Frankel,10
227,Len Wiseman,5
228,Darren Aronofsky,9
229,Kevin Reynolds,8
230,Robert Luketic,8
231,Cary Joji Fukunaga,4
232,Frank Oz,13
233,Tim Hill,8
234,Brenda Chapman,4
235,Brad Silberling,8
236,Robert Stromberg,1
237,Cameron Crowe,9
238,Roger Donaldson,18
239,Alex Proyas,6
240,Dan Scanlon,1
241,Yang Yu,1
242,Malcolm D. Lee,13
243,John G. Avildsen,15
244,Lee Tamahori,10
245,Mark Osborne,3
246,Joe Wright,10
247,Seth Gordon,5
248,Jonathan Mostow,7
249,Irvin Kershner,3
250,Raman Hui,2
251,John Stevenson,3
252,Phyllida Lloyd,3
253,William Friedkin,18
254,Steve Carr,9
255,Timur Bekmambetov,9
256,Joseph Kosinski,5
257,Curtis Hanson,11
258,Yibai Zhang,5
259,Chris Wedge,3
260,Michael Patrick King,3
261,Jonathan Demme,23
262,David Slade,2
263,David Zucker,10
264,Sean Anders,6
265,Judd Apatow,9
266,John Singleton,9
267,Peter Ramsey,2
268,Alan J. Pakula,13
269,Keenen Ivory Wayans,6
270,Anne Fletcher,6
271,Roger Spottiswoode,13
272,Wong Jing,11
273,Stephen Herek,17
274,Donald Petrie,13
275,John Madden,12
276,James Bobin,5
277,Walt Becker,5
278,John Krasinski,5
279,Taylor Hackford,15
280,Garth Jennings,2
281,Andy Fickman,9
282,Andrew Lau,5
283,David Dobkin,7
284,Ben Stiller,8
285,Jason Reitman,9
286,James L. Brooks,6
287,Neill Blomkamp,4
288,Harold Ramis,11
289,Larry Charles,6
290,Stephen Frears,22
291,Damien Chazelle,5
292,Duncan Jones,5
293,Catherine Hardwicke,10
294,Gavin Hood,7
295,Spike Lee,30
296,Nathan Greno,1
297,Herbert Ross,18
298,Karey Kirkpatrick,3
299,John Lee Hancock,8
300,Sam Taylor-Johnson,4
301,Mick Jackson,7
302,David Gordon Green,16
303,Norman Jewison,22
304,Kirk De Micco,1
305,Chad Stahelski,6
306,Rupert Sanders,4
307,Randal Kleiser,10
308,Jordan Vogt-Roberts,3
309,Neil Burger,4
310,Jim Abrahams,8
311,Harald Zwart,5
312,Mark Andrews,2
313,Peter Hyams,17
314,Robert Wise,16
315,Nick Cassavetes,11
316,Morten Tyldum,3
317,Makoto Shinkai,5
318,Travis Knight,3
319,Peter Sohn,2
320,Adam Wingard,10
321,Guy Hamilton,10
322,Emile Ardolino,6
323,Richard Marquand,4
324,Ethan Coen,7
325,Wes Anderson,10
326,Anthony Minghella,7
327,Gabriele Muccino,10
328,Phil Johnston,1
329,Kent Seki,1
330,Wilson Yip,6
331,P.J. Hogan,6
332,Alessandro Carloni,1
333,Rupert Wyatt,4
334,Eric Toledano,3
335,Olivier Nakache,3
336,Scott Mosier,1
337,Yarrow Cheney,1
338,Amy Heckerling,9
339,Kevin Costner,3
340,Martin Brest,5
341,Baltasar Kormakur,9
342,Han Han,3
343,Roger Michell,9
344,Jordan Peele,3
345,Tarsem Singh,5
346,Mimi Leder,7
347,Steve Hickner,2
348,Jean-Jacques Annaud,10
349,Haruo Sotozaki,4
350,Jeff Tremaine,10
351,Darren Lynn Bousman,13
352,Alexander Payne,11
353,Destin Daniel Cretton,5
354,Herman Yau,13
355,Walter Hill,22
356,John Moore,6
357,Dominic Sena,5
358,Sharon Maguire,3
359,Tate Taylor,8
360,Mark Dindal,4
361,Gus Van Sant,17
362,Jon Amiel,8
363,Mark Steven Johnson,8
364,Andy Serkis,4
365,Xue Xiaolu,2
366,George Cukor,11
367,Nick Park,5
368,Andy Muschietti,4
369,Daniel Lee,6
370,Han Yan,5
371,Neil Jordan,18
372,Brian Robbins,10
373,Joseph Ruben,10
374,Penny Marshall,8
375,Robert Redford,9
376,Patrick Hughes,5
377,Terry Gilliam,12
378,Edgar Wright,8
379,Les Mayfield,8
380,Joon-ho Bong,7
381,Tony Gilroy,3
382,Wolfgang Reitherman,6
383,David R. Ellis,6
384,Greg Tiernan,4
385,Dean Parisot,5
386,David Bowers,7
387,Olivier Megaton,4
388,Joe Dante,17
389,Chirs Buck,1
390,Eric Brevig,2
391,Paul King,4
392,Michael Dougherty,3
393,George Roy Hill,12
394,Henry Joost,7
395,Ariel Schulman,7
396,Roman Polanski,20
397,Stephen Hopkins,11
398,Blake Edwards,27
399,Ben Affleck,5
400,Michael Gracey,2
401,Arthur Hiller,17
402,Bradley Cooper,2
403,Joel Zwick,4
404,Jean-Pierre Jeunet,7
405,Marc Lawrence,5
406,Clyde Geronimi,4
407,Victor Fleming,3
408,George P. Cosmatos,8
409,Adil El Arbi,4
410,Bilall Fallah,4
411,Alex Kurtzman,2
412,Jimmy Hayward,3
413,Takashi Yamazaki,13
414,Gilbert Lewis,4
415,Brian Helgeland,5
416,Frank Darabont,5
417,David Soren,3
418,Jason Friedberg,10
419,Steve Oedekerk,4
420,Sam Wood,3
421,Lawrence Kasdan,11
422,Mikael Hafstrom,7
423,Michael Lembeck,7
424,Craig Gillespie,6
425,Thor Freudenthal,4
426,Mike Thurmeier,1
427,Ken Kwapis,10
428,Leonard Nimoy,6
429,Ol Parker,4
430,Peter Chelsom,12
431,Bibo Bergeron,2
432,Stanley Tong,7
433,Simon Wells,7
434,Xiaogang Feng,5
435,Eli Roth,10
436,Pedro Almodovar,21
437,Stanley Kubrick,12
438,Mel Brooks,10
439,Elizabeth Banks,7
440,ChloÃ© Zhao,4
441,Stephen Daldry,9
442,Brian Fee,1
443,John Hamburg,5
444,Sidney Lumet,28
445,Cate Shortland,4
446,Jill Culton,2
447,Adam Robitel,4
448,Bruce Beresford,27
449,George Clooney,8
450,Albert Hughes,7
451,Kathryn Bigelow,9
452,Sam Fell,4
453,John Pasquin,4
454,Bob Persichetti,1
455,Rodney Rothman,1
456,Lu Yang,3
457,Kirk Jones,5
458,Don Bluth,10
459,Michel Gondry,12
460,Tom Dey,4
461,Pierre Morel,6
462,Simon J. Smith,1
463,Steve Miner,14
464,Corin Hardy,3
465,Ralph Zondag,2
466,Peter Lord,2
467,Glenn Ficarra,6
468,John Requa,6
469,Stephen Chbosky,4
470,Frank Marshall,5
471,Scott Moore,5
472,Jon Lucas,5
473,Tom Tykwer,10
474,Stephen Gaghan,4
475,Eric Leighton,1
476,Penelope Spheeris,11
477,Michael Moore,11
478,James Wong,4
479,Lawrence Guterman,2
480,Clay Kaytis,2
481,Fergal Reilly,1
482,Josh Boone,3
483,Hal Needham,10
484,Hugh Wilson,8
485,Alan Parker,14
486,Warren Beatty,5
487,Michael Caton-Jones,12
488,Noam Murro,2
489,Steven Brill,9
490,Michael Ritchie,17
491,Peter Hewitt,8
492,Joe Carnahan,10
493,Richard Curtis,3
494,Jonathan Frakes,6
495,Robert Altman,21
496,Chao Deng,3
497,Baimei Yu,3
498,Randall Wallace,4
499,Peter Faiman,2
500,Jon Avnet,8
501,Rob Bowman,4
502,Chris McKay,4
503,Alexandre Aja,10
504,Daniel Espinosa,6
505,Olivier Magaton,1
506,Gary Winick,6
507,Howard Deutch,10
508,Allen Hughes,9
509,Richard Linklater,21
510,Wayne Wang,17
511,John Hughes,8
512,Jonathan Levine,6
513,Michael Chaves,2
514,James DeMonaco,5
515,Steven Quale,5
516,Greg Mottola,7
517,Beeban Kidron,5
518,Jose Padilha,4
519,Roger Kumble,7
520,MiloÅ¡ Forman,9
521,Ron Shelton,9
522,Andrew Niccol,7
523,Christopher Landon,7
524,Paul Tibbitt,1
525,Will Speck,5
526,Josh Gordon,5
527,Stephen Norrington,2
528,Phil Alden Robinson,5
529,Nitesh Tiwari,4
530,Breck Eisner,3
531,Jackie Chan,6
532,Tian Yusheng,1
533,Paul Thomas Anderson,9
534,John Carpenter,20
535,"George Tillman, Jr",9
536,Jeff Fowler,2
537,Tony Chan,5
538,Richard Attenborough,10
539,David Green,5
540,Charles Shyer,7
541,Gary Fleder,7
542,Andrzej Bartkowiak,7
543,Greta Gerwig,2
544,Kenny Ortega,7
545,Simon Wincer,11
546,Joe Roth,5
547,Fede Ãlvarez,4
548,Hoyt H. Yeatman,1
549,Luke Greenfield,5
550,Josh Trank,3
551,Cheang Pou-Soi,3
552,Carl Reiner,11
553,Aaron Seltzer,8
554,Steven S. DeKnight,1
555,S.S. Rajamouli,2
556,David Lean,8
557,Jesse Dylan,3
558,Benny Chan,6
559,Theodore Melfi,4
560,Florian Henckel von Donnersmarck,2
561,Soi Cheang,3
562,Chris Noonan,2
563,Richard Benjamin,11
564,John R. Leonetti,4
565,Greg MacGillivray,9
566,Peter Cattaneo,4
567,David Twohy,5
568,Richard LaGravenese,7
569,Steve Rodney McQueen,4
570,Scott Waugh,4
571,Scott Hicks,8
572,Yuen Woo Ping,6
573,Leigh Whannell,4
574,Alejandro AmenÃ¡bar,5
575,James McTeigue,5
576,Roar Uthaug,3
577,John Guillermin,10
578,Kris Pearn,2
579,Cody Cameron,1
580,Mathieu Kassovitz,4
581,Charles Martin Smith,8
582,Boaz Yakin,8
583,Peter Chan,4
584,Harold Becker,9
585,Kevin Smith,17
586,Wilfred Jackson,3
587,Mel Smith,5
588,Trish Sie,4
589,Steve Barron,7
590,Roberto Benigni,4
591,Jay Russell,5
592,Howard Zieff,7
593,John Huston,19
594,Camille Delamarre,3
595,Gil Kenan,4
596,Joe Pytka,2
597,Justin Kurzel,6
598,Oliver Parker,7
599,Lee Daniels,5
600,Wuershan,2
601,Peter Howitt,4
602,Eduardo Sanchez,6
603,Daniel Myrick,2
604,Anthony Leondis,2
605,Iain Softley,8
606,Bora Dagtekin,3
607,Sofia Coppola,7
608,Simon Kinberg,2
609,Jeff Wadlow,7
610,Dexter Fletcher,5
611,Li Wei,3
612,Ben Falcone,5
613,Teng Cheng,1
614,Tommy Wirkola,9
615,Da Peng,2
616,Ronny Yu,4
617,Tom Vaughan,5
618,Frank Miller,3
619,Klay Hall,1
620,Hamilton Luske,3
621,Russell Mulcahy,12
622,Hayden Schlossberg,1
623,Jon Hurwitz,1
624,Rao Xiaozhi,2
625,David Cronenberg,19
626,James Gray,9
627,Steve Bendelack,1
628,Ric Roman Waugh,7
629,David S. Goyer,4
630,Jeannot Szwarc,6
631,Dany Boon,4
632,Gary Dauberman,2
633,Michael Lehmann,9
634,Derek Tsang,1
635,Martin McDonagh,4
636,Gavin OâConnor,7
637,Robert Benton,7
638,Sam Weisman,3
639,Cal Brunker,4
640,Dean Devlin,2
641,Hideaki Anno,5
642,Alfred Hitchcock,39
643,Jason Moore,3
644,Hideo Nakata,13
645,John Frankenheimer,20
646,Stephen Anderson,2
647,Andrew Bergman,6
648,Tomoka Nagaoka,2
649,Toni Myers,3
650,Gary Shore,2
651,Ted Kotcheff,10
652,John Francis Daley,3
653,Jonathan Goldstein,3
654,Philip Kaufman,10
655,William Brent Bell,7
656,Danny DeVito,6
657,Babak Najafi,4
658,Leon Ding,3
659,Scott Cooper,7
660,Gary Rydstrom,3
661,Joel Crawford,2
662,Da-Mo Peng,1
663,Fei Yan,1
664,Steven Caple Jr,3
665,Gregory Hoblit,4
666,Ryuichi Yagi,2
667,David Lam,5
668,Spike Jonze,5
669,Kevin Greutert,6
670,Ben Stassen,7
671,David Koepp,7
672,Michael Sucsy,3
673,Peter Yates,15
674,Kevin MacDonald,11
675,Rene Liu,1
676,Thea Sharrock,3
677,Clark Johnson,3
678,George A. Romero,16
679,Michael Spierig,4
680,Peter Spierig,4
681,Philippe de Chauveron,4
682,Sarah Smith,2
683,Rob Zombie,9
684,Ryan Murphy,3
685,Jim Sheridan,9
686,Kevin Rodney Sullivan,4
687,Dwight H. Little,11
688,Guo Jingming,4
689,Kabir Khan,5
690,Brad Lewis,1
691,Niki Caro,8
692,Burr Steers,3
693,David McNally,2
694,Mike Flanagan,7
695,Cathy Yan,3
696,Kim Yong-hwa,2
697,Rajkumar Hirani,3
698,Ava Duvernay,5
699,John Schlesinger,15
700,Kobun Shizuno,8
701,Sam Quah,1
702,Xiao Lu Xue,2
703,Huang Bo,1
704,Terrence Malick,10
705,Steve Box,1
706,Shekhar Kapur,7
707,Michael Engler,2
708,Scott Speer,7
709,Hiromasa Yonebayashi,3
710,Paul Haggis,5
711,Oren Peli,2
712,Tatsuya Nagamine,2
713,Alex Kendrick,6
714,Jay Chandrasekhar,7
715,Pete Travis,4
716,Ted Demme,7
717,Takaski Shimizu,2
718,John Erick Dowdle,6
719,Jazz Boon,3
720,Han-Min Kim,2
721,Felix Chong,1
722,Victor Salva,5
723,Ericson Core,3
724,David Hand,1
725,Nimrod Antal,5
726,Choi Dong-hoon,2
727,Paul Mazursky,10
728,Doug Sweetland,1
729,Neil LaBute,10
730,Alastair Fothergill,9
731,Seung-wan Ryoo,5
732,Nick Castle,4
733,Tobe Hooper,9
734,Bennett Miller,3
735,Dennis Gansel,6
736,Stuart Baird,2
737,Scott Stewart,4
738,Miguel Arteta,8
739,William Wyler,12
740,Bob Clark,8
741,Tod Williams,2
742,Ron Underwood,4
743,David Lowery,7
744,Patrick Lussier,5
745,Jared Hess,7
746,Jiang Wen,4
747,Dean Israelite,4
748,Marco Brambilla,2
749,Forest Whitaker,3
750,Colin Higgins,2
751,Jonathan Lynn,5
752,Brad Furman,4
753,Peter Billingsley,2
754,Greg Berlanti,3
755,Brett Leonard,8
756,Mark Linfield,5
757,John Boorman,13
758,Richard Fleischer,17
759,Rohit Shetty,7
760,Lorene Scafaria,3
761,Angelina Jolie,5
762,Steve Pink,6
763,XiaoPeng Tian,1
764,Peter Bogdanovich,12
765,John Whitesell,6
766,Cedric Nicolas-Troyan,2
767,Troy Quane,1
768,Nick Bruno,1
769,Carl Franklin,7
770,Barbet Schroeder,11
771,Paul McGuigan,8
772,Franco Zeffirelli,12
773,Kim Jee-woon,6
774,Mans Marlind,3
775,BjÃ¶rn Stein,2
776,Michel Hazanavicius,6
777,Garth Davis,2
778,Yu Shan Chen,3
779,Fred Schepisi,13
780,Richard Loncraine,8
781,Johannes Roberts,8
782,David Kerr,2
783,Wong Amp,2
784,John Polson,2
785,Sylvain White,4
786,Griffin Dunne,6
787,Rupert Wainwright,3
788,Jessie Nelson,3
789,Marcus Nispel,3
790,Bobs Gannaway,1
791,Luis Llosa,2
792,Stan Dragoti,5
793,Barbra Streisand,3
794,Ali Abbas Zafar,4
795,Paul Weiland,5
796,Tom McCarthy,8
797,Etan Cohen,2
798,Zhang Hongwei,1
799,John A. Davis,2
800,Nigel Cole,4
801,Thurop Van Orman,1
802,Carl Rinsch,1
803,Jean-Marc Vallee,5
804,Gavin Lin,1
805,James Ivory,18
806,Cecil B. DeMille,10
807,Sheng Ding,6
808,Kazuya Tsurumaki,3
809,Neveldine & Taylor,1
810,Angela Robinson,3
811,Laurent Tirard,6
812,Andrew Fleming,9
813,Robert Stevenson,5
814,James Marsh,9
815,Xie Dikui,2
816,Fernando Meirelles,6
817,Irwin Winkler,4
818,Jack Lee Thompson,14
819,Stephen Hillenburg,1
820,Neil Marshall,7
821,Danny Cannon,2
822,Jodie Foster,4
823,Tommy Chong,6
824,Mamoru Hosoda,4
825,Evan Goldberg,2
826,Seth Rogen,2
827,Peter Webber,5
828,Terence Young,6
829,Zhao Ji,2
830,Gurinder Chadha,8
831,Gabor Csupo,1
832,Todd Michael Amateau,1
833,Lok Man Leung,2
834,Martha Coolidge,11
835,James Watkins,2
836,Leste Chen,4
837,Alec Su,2
838,Gerard McMurray,2
839,Steve Beck,2
840,Sidney Poitier,4
841,Ruoxin Yin,2
842,Danny Leiner,3
843,Walter Salles,7
844,George Nolfi,3
845,Howard Hall,2
846,John Milius,7
847,Bo Welch,1
848,Bob Rafelson,8
849,Su Lun,1
850,Peter Hedges,3
851,Chris Butler,2
852,Andrew Erwin,8
853,Jon Erwin,8
854,Peter Lepeniotis,3
855,Dan Mazer,4
856,Nima Nourizadeh,2
857,Dan Scanlan,1
858,Hirokazu Kore-eda,8
859,Jason Kwan,2
860,Nikolaj Arcel,2
861,Chang Yuan,1
862,David S. Ward,5
863,Sang-ho Yeon,3
864,Simon Curtis,4
865,Fedor Bondarchuk,5
866,Yuichi Fukuda,6
867,Seong-hoon Kim,3
868,Colin Strause,1
869,Greg Strause,1
870,Julie Anne Robinson,2
871,Advait Chandan,1
872,Bille Woodruff,7
873,Ari Aster,3
874,David Breashears,2
875,Stephen Judson,1
876,Jonathan Dayton,3
877,Valerie Faris,3
878,Tianyu Zhao,3
879,Ronald Neame,9
880,Lewis Teague,5
881,Henry Selick,2
882,Hugh Hudson,7
883,Alexander Witt,1
884,Luis Mandoki,6
885,Tomas Alfredson,2
886,Bill Duke,8
887,Qiansen Ouyang,1
888,Chuan Lu,2
889,Martin Ritt,11
890,Miao Yue,4
891,Neil Nightingale,2
892,Greg Jacobs,2
893,Zach Braff,4
894,Barry Cook,1
895,Woo-seok Yang,3
896,Charlie Bean,2
897,Bob Logan,1
898,Paul Fisher,1
899,Kazuaki Imai,2
900,Carlos Lopez Estrada,4
901,Mira Nair,10
902,Sidney J. Furie,12
903,Jeremiah Chechik,5
904,Yorgos Lanthimos,5
905,David Carson,2
906,Wong Kar-wai,13
907,David Lynch,10
908,Arthur Penn,7
909,Shinji Higuchi,3
910,David Wain,5
911,Fangfang Li,1
912,Emilio Martinez Lazaro,4
913,John Luessenhop,4
914,Wu'ershan,1
915,Goro Miyazaki,3
916,Billy Wilder,18
917,Lei Zhilong,1
918,Denzel Washington,4
919,Samuel Bayer,1
920,Robert De Niro,2
921,Nicholas Meyer,5
922,Kevin Munroe,3
923,Byeong-Hun Lee,1
924,Todd Haynes,11
925,Daniel Alfredson,7
926,John Schultz,8
927,Dylan Brown,1
928,Han Tian,2
929,Alejandro Agresti,3
930,Seok-hoon Lee,2
931,Kimberly Peirce,4
932,Steve Rash,6
933,J. Blakeson,4
934,Mike Figgis,13
935,Mike Leigh,13
936,Thomas Carter,3
937,Lin Yan,1
938,Min-ho Woo,3
939,Bernardo Bertolucci,10
940,Anton Corbijn,5
941,Anthony Stacchi,1
942,Graham Annable,1
943,Kevin Kolsch,3
944,Dennis Widmyer,2
945,Mark Pellington,6
946,Michael Cimino,8
947,Dennie Gordon,4
948,Gene Stupnitsky,1
949,Wang Baoqiang,1
950,Robin Budd,1
951,Donovan Cook,1
952,Andrew Douglas,2
953,Oxide Pang Chun,7
954,Alister Grierson,3
955,John Stockwell,11
956,Sergey Bodrov,1
957,Joon-ik Lee,4
958,Justin Chadwick,3
959,Christophe Gans,4
960,Dan Trachtenberg,1
961,Yuzuru Tachikawa,1
962,Danny Pang,10
963,Andre Ovredal,6
964,Carroll Ballard,4
965,Sam Peckinpah,13
966,Patricia Riggen,3
967,Jang Hun,2
968,Lorna Cook,1
969,Susanna White,3
970,Rod Daniel,3
971,Stuart Rosenberg,6
972,Don Siegel,14
973,Christian Ditter,2
974,Charles Stone III,6
975,Paul Michael Glaser,5
976,Lone Scherfig,5
977,Sunny Luk,1
