rank,name,num_filem
1,Samuel L. Jackson,63
2,"Robert Downey, Jr.",43
3,Scarlett Johansson,31
4,Tom Hanks,53
5,Bradley Cooper,27
6,Harrison Ford,42
7,Chris Evans,27
8,Tom Cruise,43
9,Chris Hemsworth,25
10,Zoe Saldana,28
11,Chris Pratt,20
12,Johnny Depp,51
13,Eddie Murphy,42
14,Will Smith,34
15,Vin Diesel,26
16,Dwayne Johnson,35
17,Mark Ruffalo,22
18,Don Cheadle,22
19,Matt Damon,42
20,Jeremy Renner,18
21,Emma Watson,15
22,Bruce Willis,74
23,Adam Sandler,40
24,Chadwick Boseman,11
25,Ben Stiller,34
26,Nicolas Cage,84
27,Karen Gillan,13
28,Josh Brolin,23
29,Steve Carell,27
30,Jim Carrey,30
31,Leonardo DiCaprio,26
32,Jennifer Lawrence,22
33,Robin Williams,37
34,Benedict Cumberbatch,16
35,Liam Neeson,53
36,Robert De Niro,74
37,Tom Holland,15
38,Daniel Radcliffe,22
39,Mark Wahlberg,42
40,Hugh Jackman,33
41,Sandra Bullock,34
42,Brad Pitt,43
43,Dave Bautista,20
44,Gwyneth Paltrow,20
45,Cameron Diaz,28
46,Denzel Washington,47
47,Ian McKellen,18
48,Elizabeth Olsen,14
49,Ewan McGregor,34
50,Sebastian Stan,10
51,Julia Roberts,36
52,Ben Affleck,44
53,Tom Hiddleston,13
54,Rupert Grint,13
55,Paul Bettany,14
56,Mel Gibson,48
57,Kevin Hart,31
58,John Travolta,51
59,Owen Wilson,36
60,Mark Hamill,13
61,Morgan Freeman,44
62,Danai Gurira,4
63,Letitia Wright,9
64,Will Ferrell,35
65,Adam Driver,18
66,Tim Allen,20
67,Daisy Ridley,7
68,Ryan Reynolds,40
69,John Boyega,13
70,Christian Bale,34
71,Sylvester Stallone,51
72,Natalie Portman,31
73,Mike Myers,14
74,George Clooney,34
75,Meryl Streep,48
76,Jack Black,26
77,Keanu Reeves,47
78,Pom Klementieff,4
79,Paul Rudd,28
80,Shia LaBeouf,26
81,Idris Elba,28
82,Josh Gad,16
83,Channing Tatum,28
84,Kevin Costner,40
85,Clint Eastwood,48
86,Seth Rogen,23
87,Michael Douglas,35
88,Benedict Wong,5
89,Lupita Nyong'o,8
90,Arnold Schwarzenegger,34
91,Dustin Hoffman,32
92,Steve Martin,36
93,Carrie Fisher,7
94,Anthony Hopkins,37
95,Kristen Stewart,28
96,Bill Murray,35
97,Orlando Bloom,20
98,Tommy Lee Jones,27
99,Michelle Pfeiffer,35
100,Chris Pine,18
rank,name,num_filem
101,Martin Freeman,11
102,Ralph Fiennes,25
103,Nicole Kidman,52
104,Jon Favreau,6
105,Reese Witherspoon,35
106,Jude Law,33
107,Keegan-Michael Key,13
108,Anne Hathaway,29
109,Simon Pegg,25
110,Taylor Lautner,10
111,Woody Harrelson,40
112,Brie Larson,11
113,Robert Pattinson,22
114,Keira Knightley,26
115,Oscar Isaac,23
116,Tobey Maguire,11
117,Anthony Mackie,20
118,Robert Redford,32
119,Matthew McConaughey,29
120,Daniel Craig,17
121,Jason Statham,37
122,Angelina Jolie,23
123,Kevin James,16
124,Paul Walker,16
125,Cate Blanchett,26
126,John Goodman,22
127,Kurt Russell,37
128,Jamie Foxx,28
129,Jack Nicholson,30
130,Russell Crowe,38
131,Al Pacino,44
132,Chris Rock,20
133,Richard Gere,45
134,Dennis Quaid,49
135,Andy Serkis,9
136,Kristen Bell,19
137,Angela Bassett,14
138,Jennifer Aniston,30
139,Amy Adams,20
140,Viggo Mortensen,23
141,Jonah Hill,17
142,Charlize Theron,30
143,James McAvoy,21
144,Evangeline Lilly,7
145,Ben Kingsley,21
146,Alan Tudyk,9
147,Danny DeVito,24
148,Gerard Butler,30
149,Geoffrey Rush,16
150,Jeff Bridges,25
151,Jackie Chan,36
152,Henry Cavill,10
153,Michelle Rodriguez,16
154,Michael Keaton,18
155,Emma Thompson,19
156,Colin Farrell,31
157,Paul Newman,32
158,Patrick Stewart,17
159,Vince Vaughn,25
160,Sam Worthington,23
161,Ben Mendelsohn,11
162,Kristen Wiig,19
163,Kevin Kline,21
164,Emily Blunt,26
165,Kate Winslet,29
166,Anthony Daniels,3
167,Rachel McAdams,21
168,Michael B. Jordan,18
169,Pierce Brosnan,29
170,Zach Galifianakis,15
171,Forest Whitaker,28
172,Matthew Broderick,19
173,Billy Crystal,15
174,Martin Lawrence,15
175,Jason Bateman,18
176,Emma Stone,16
177,Zendaya,7
178,BeyoncÃ© Knowles,8
179,Zac Efron,21
180,Ice Cube,25
181,Queen Latifah,17
182,Drew Barrymore,31
183,Michael J. Fox,21
184,Michael PeÃ±a,20
185,Gal Gadot,9
186,David Spade,15
187,Antonio Banderas,28
188,Jennifer Lopez,27
189,Justin Long,23
190,Jada Pinkett Smith,9
191,Elijah Wood,22
192,Jake Gyllenhaal,30
193,Colin Firth,34
194,John Cusack,58
195,John Leguizamo,22
196,Bette Midler,26
197,Michael Caine,33
198,Demi Moore,27
199,Karl Urban,11
200,Melissa McCarthy,16
201,Meg Ryan,27
202,Holly Hunter,9
203,Benicio del Toro,17
204,Alec Baldwin,27
205,Tyler Perry,18
206,Daniel Kaluuya,5
207,Will Arnett,11
208,Bill Hader,11
209,Sacha Baron Cohen,10
210,Tom Hardy,17
211,Rachel Weisz,24
212,Catherine Zeta-Jones,19
213,John C. Reilly,19
214,Helena Bonham Carter,29
215,Jodie Foster,24
216,Michael Fassbender,25
217,Glenn Close,25
218,Ed Helms,18
219,Laurence Fishburne,21
220,Susan Sarandon,50
221,Margot Robbie,17
222,Willem Dafoe,34
223,Ellen DeGeneres,3
224,Idina Menzel,2
225,Elizabeth Banks,21
226,Chiwetel Ejiofor,15
227,Wesley Snipes,29
228,Diane Keaton,36
229,Kate Beckinsale,23
230,Sarah Vowell,2
231,Craig T. Nelson,2
232,Tilda Swinton,22
233,Denis Leary,9
234,Terry Notary,2
235,Ray Romano,9
236,Jessica Alba,18
237,Hayden Christensen,12
238,Amanda Seyfried,23
239,Megan Fox,14
240,James Franco,42
241,Annette Bening,24
242,Salma Hayek,24
243,Dan Aykroyd,14
244,Nick Jonas,8
245,Danny Glover,22
246,Aaron Taylor-Johnson,11
247,Sigourney Weaver,37
248,Richard Dreyfuss,14
249,Jesse Eisenberg,22
250,Sean Connery,15
251,Alan Rickman,9
252,Albert Brooks,6
253,Nick Nolte,23
254,Anna Kendrick,23
255,Jamie Lee Curtis,13
256,Mads Mikkelsen,14
257,Bryce Dallas Howard,8
258,Regina Hall,18
259,Joseph Gordon-Levitt,21
260,Viola Davis,13
261,Goldie Hawn,21
262,Halle Berry,18
263,John Cho,9
264,Barbra Streisand,10
265,Anna Faris,14
266,Ryan Gosling,21
267,Donald Glover,4
268,Brendan Fraser,17
269,RenÃ©e Zellweger,22
270,Jay Baruchel,15
271,Steve Buscemi,19
272,Jordana Brewster,7
273,Cedric the Entertainer,14
274,Riz Ahmed,11
275,Seann William Scott,17
276,Javier Bardem,21
277,Michelle Williams,19
278,Andy Samberg,11
279,Kelly Marie Tran,3
280,Heath Ledger,8
281,Joonas Suotamo,2
282,Edward Norton,16
283,Luke Evans,13
284,Andy Garcia,22
285,Julie Walters,11
286,Kevin Spacey,19
287,Ashton Kutcher,13
288,Tyrese Gibson,12
289,Jeff Goldblum,15
290,Mindy Kaling,4
291,Domhnall Gleeson,6
292,Jason Momoa,11
293,Maggie Smith,18
294,Julianne Moore,40
295,Diane Lane,26
296,T.J. Miller,7
297,Jennifer Garner,16
298,Jason Sudeikis,19
299,Charlie Sheen,28
300,Jesse McCartney,6
301,Chevy Chase,25
302,Jon Hamm,15
303,Hailee Steinfeld,13
304,Bill Nighy,16
305,Rebel Wilson,11
306,Joaquin Phoenix,18
307,Rowan Atkinson,9
308,Zachary Quinto,9
309,Steve Guttenberg,20
310,Marisa Tomei,14
311,Matthew Gray Gubler,6
312,Keri Russell,7
313,Donnie Yen,20
314,PenÃ©lope Cruz,22
315,William Shatner,12
316,Mickey Rourke,30
317,ChloÃ« Grace Moretz,25
318,John Candy,18
319,James Earl Jones,4
320,Guy Pearce,28
321,Taron Egerton,9
322,James Spader,9
323,Selena Gomez,12
324,Ezra Miller,10
325,Gene Hackman,18
326,Gugu Mbatha-Raw,11
327,Teri Polo,8
328,Hugh Grant,14
329,Dan Stevens,15
330,Elizabeth Debicki,7
331,Felicity Jones,14
332,Gwendoline Christie,2
333,Rose Byrne,16
334,Helen Mirren,27
335,Eva Green,16
336,Whoopi Goldberg,26
337,Katherine Heigl,18
338,Alfre Woodard,8
339,Mila Kunis,14
340,Djimon Hounsou,11
341,Seth MacFarlane,5
342,Stanley Tucci,14
343,Octavia Spencer,16
344,Huck Milner,1
345,Julie Andrews,15
346,Jeremy Irons,13
347,Patrick Wilson,20
348,Dana Carvey,7
349,Blythe Danner,7
350,Diego Luna,7
351,John Malkovich,29
352,John Cena,16
353,Eddie Redmayne,11
354,Isla Fisher,15
355,Amy Poehler,11
356,Christopher Walken,24
357,David Schwimmer,5
358,Ray Winstone,8
359,John Oliver,2
360,Nathan Lane,7
361,Hannibal Buress,5
362,Dolph Lundgren,21
363,Rami Malek,8
364,Maya Rudolph,17
365,Charlie Day,9
366,Jet Li,14
367,Awkwafina,11
368,Kirsten Dunst,25
369,Taraji P. Henson,13
370,Tiffany Haddish,13
371,Christoph Waltz,11
372,Patrick Swayze,21
