filem_name,cast1,cast2,cast3,cast4,cast5,cast6,cast7,cast8,cast9,five_total_missing,all_total_missing,sum_of_first_five
The Grudge,8260,20867,9737,6259,2398,6816,20867,20867,8265,1,3,47521
Like a Boss,9630,9667,9758,9447,7745,54899,54899,54899,8652,0,3,46247
Bad Boys for Life,9986,9826,9307,28149,8657,3318,9003,6201,28149,1,2,65925
Dolittle,31632,9813,9205,8624,6493,31632,9845,9637,9648,1,2,65767
The Gentlemen,9881,9163,8833,3761,25382,9844,9283,25382,25382,1,3,57020
The Turning,3796,9020,8180,13472,5948,13472,13472,13472,13472,1,5,40416
The Last Full Measure,9950,9259,9587,9381,9999,7755,9108,9458,74497,0,1,48176
The Rhythm Section,9451,9894,8678,3692,3828,5248,5471,46262,46262,0,2,35543
Gretel & Hansel,6873,8539,5756,5756,1858,5756,5756,5756,5756,2,6,28782
The Lodge,7931,8962,8854,7904,8578,42229,42229,42229,42229,0,4,42229
Sonic the Hedgehog,9296,9970,9190,8178,25107,6362,25107,7219,25107,1,3,61741
Downhill,9936,8560,8610,5041,8771,43216,43216,2298,43216,0,3,40918
The Call of the Wild,9994,8016,25943,9973,9671,7755,6477,25943,25943,1,3,63597
Brahms: The Boy II,7526,6700,6701,6702,13814,13814,13814,13814,13814,1,5,41443
The Invisible Man,8412,8204,8967,8653,18953,3671,18953,18953,18953,1,4,53189
Onward,9963,9989,8560,9657,8888,9234,9091,8168,73550,0,1,47057
The Burnt Orange Heresy,5847,9670,4165,9351,14516,14516,14516,14516,14516,1,5,43549
First Cow,7852,16637,6368,7280,5428,16637,6346,16637,16637,1,4,43565
Bloodshot,9985,9680,22251,7807,9004,22251,8026,22251,22251,1,4,58727
I Still Believe,6591,8636,7987,8734,7987,7987,7987,7987,7987,2,6,39935
The Roads Not Taken,9724,9403,9758,18775,8666,18775,18775,18775,18775,1,5,56326
Insidious: The Last Key,8265,3562,7078,7078,3005,7078,6402,7078,7078,2,5,28988
The Commuter,9965,9493,9653,4103,9155,8810,9383,70499,9937,0,1,42369
Proud Mary,9631,13888,13888,7219,8561,4369,13888,2131,9755,2,3,53187
12 Strong,9991,9594,21741,9410,8777,3065,21741,21741,2646,1,3,59513
Den of Thieves,9852,7837,17365,8372,2549,17365,6120,17365,17365,1,4,45975
Forever My Girl,6892,8612,6965,6965,5391,6965,6965,6965,6965,2,6,34825
Maze Runner: The Death Cure,30456,9219,9298,9448,8877,6791,9278,30456,8002,1,2,67298
A Fantastic Woman,5778,1873,5364,5122,5122,5122,5122,5122,2351,2,5,23259
Fifty Shades Freed,9597,9452,2863,19996,4075,19996,5883,8122,19996,1,3,45983
The 15:17 to Paris,7588,7589,7590,8984,3944,7329,43024,43024,43024,0,3,35695
Black Panther,9976,9832,9911,9938,9899,9794,9937,5189,9863,0,0,49556
Early Man,9647,9947,7481,24730,7244,7600,7541,24730,24730,1,3,59049
The Party,6426,5618,6071,9175,8844,9115,7244,52493,52493,0,2,36134
Black '47,8703,4751,2713,17912,8879,17912,2154,8624,17912,1,3,42958
Samson,6180,6930,13309,6181,7328,13309,13309,13309,13309,1,5,39928
Game Night,9825,9833,8795,4455,6636,8026,6577,9056,7114,0,0,39544
Annihilation,9928,9009,9354,9565,7508,9885,9912,7324,72485,0,1,45364
