filem_name,tomatometerscore,audiencescore,reviews_numb,ratings_numb,rating,genre,language,director,producer,writer,release_date_theaters,release_date_streaming,box_office,runtime,distributor,aspect_ratio,actors
Iron Man 2,72,71,304,"250,000+",PG-13 (Some Language|Intense Sci-Fi Action|Violence),"Fantasy, Action, Adventure, Sci-Fi",English,Jon Favreau,Kevin Feige,Justin Theroux,"May 7, 2010  Wide","Aug 17, 2010",$312.1M,2h 4m,Paramount Pictures,,"Robert Downey Jr.,Gwyneth Paltrow,Don Cheadle,Scarlett Johansson,Sam Rockwell,Mickey Rourke,Samuel L. Jackson,Clark Gregg,John Slattery,Garry Shandling,"
The Grudge,21,23,126,"2,500+",R (Disturbing Violence|Bloody Images|Some Language|Terror),"Mystery & Thriller, Horror",English,Nicolas Pesce,"Sam Raimi, Rob Tapert, Takashige Ichise",Nicolas Pesce,"Jan 3, 2020  Wide","Jan 3, 2020",$21.2M,1h 34m,"Sony Pictures Entertainment, Screen Gems",,"Andrea Riseborough,Demián Bichir,John Cho,Betty Gilpin,William Sadler,Frankie Faison,Tara Westwood,Dave Brown,Lin Shaye,Jacki Weaver,"
Underwater,,,,,,,,,,,,,,,,,
Like a Boss,21,65,155,"2,500+",R (Drug Use|Crude Sexual Material|Language),Comedy,English,Miguel Arteta,"Marc D. Evans, Peter Principato, Joel Zadak, Itay Reiss","Sam Pitman, Adam Cole-Kelly","Jan 10, 2020  Wide","Apr 7, 2020",$22.1M,1h 23m,Paramount Pictures,,"Tiffany Haddish,Rose Byrne,Salma Hayek,Karan Soni,Jacob Latimore,Billy Porter,Jimmy O. Yang,Ryan Hansen,Jennifer Coolidge,Jessica St. Clair,"
Three Christs,,,,,,,,,,,,,,,,,
Inherit the Viper,45,48,20,50+,R (Violence|Pervasive Language|Drug Content),"Mystery & Thriller, Crime, Drama",English,Anthony Jerjen,"Michel Merkt, Benito Mueller",Andrew Crabtree,"Jan 10, 2020  Limited","Jan 10, 2020",,1h 30m,Lionsgate Films,,"Josh Hartnett,Margarita Levieva,Owen Teague,Bruce Dern,Chandler Riggs,Dash Mihok,Valorie Curry,Brad William Henke,Anthony Jerjen,Andrew Crabtree,"
Bad Boys for Life,76,96,264,"25,000+",R (Language Throughout|Brief Drug Use|Sexual References|Strong Bloody Violence),"Action, Comedy",English,"Adil El Arbi, Bilall Fallah","Jerry Bruckheimer, Will Smith, Doug Belgrad","Chris Bremner, Peter Craig, Joe Carnahan","Jan 17, 2020  Wide","Mar 31, 2020",$204.3M,2h 4m,"Columbia Pictures, Sony Pictures Entertainment",,"Will Smith,Martin Lawrence,Vanessa Hudgens,Jacob Scipio,Alexander Ludwig,Kate del Castillo,Joe Pantoliano,Charles Melton,Paola Núñez,Nicky Jam,"
Dolittle,14,76,237,"10,000+",PG (Rude Humor|Brief Language|Some Action),"Comedy, Kids & Family, Adventure, Fantasy",English,Stephen Gaghan,"Joe Roth, Jeff Kirschenbaum, Susan Downey","Stephen Gaghan, Dan Gregor, Doug Mand","Jan 17, 2020  Wide","Mar 24, 2020",$77.0M,1h 40m,Universal Pictures,,"Robert Downey Jr.,Antonio Banderas,Michael Sheen,Jim Broadbent,Jessie Buckley,Harry Collett,Emma Thompson,Rami Malek,John Cena,Kumail Nanjiani,"
A Fall from Grace,,,,,,,,,,,,,,,,,
The Gentlemen,75,84,275,"5,000+",R (Language Throughout|Drug Content|Sexual References|Violence),"Comedy, Crime, Drama",English,Guy Ritchie,"Guy Ritchie, Ivan Atkinson, Bill Block",Guy Ritchie,"Jan 24, 2020  Wide","Mar 24, 2020",$36.5M,1h 53m,STX Films,,"Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,Lyne Renee,Colin Farrell,Henry Golding,Tom Wu,Chidi Ajufo,Hugh Grant,"
