filem_name,genre,director_rank,director,sum_of_first_five,film_income,runtime_minuts,release_year
The Grudge,"Mystery & Thriller, Horror",10514,Nicolas Pesce,47521,21200000,94,2020
Like a Boss,Comedy,11262,Miguel Arteta,46247,22100000,83,2020
Bad Boys for Life,"Action, Comedy",11591,"Adil El Arbi, Bilall Fallah",65925,204300000,124,2020
Dolittle,"Comedy, Kids & Family, Adventure, Fantasy",11526,Stephen Gaghan,65767,77000000,100,2020
The Gentlemen,"Comedy, Crime, Drama",11960,Guy Ritchie,57020,36500000,113,2020
The Turning,"Mystery & Thriller, Horror",0,Floria Sigismondi,40416,15500000,93,2020
The Last Full Measure,"Drama, War",8302,Todd Robinson,48176,2900000,116,2020
The Rhythm Section,"Action, Mystery & Thriller",8591,Reed Morano,35543,4900000,109,2020
Gretel & Hansel,"Fantasy, Horror",9856,Oz Perkins,28782,15300000,87,2020
The Lodge,"Mystery & Thriller, Horror",8457,"Veronika Franz, Severin Fiala",42229,2100000,108,2020
Sonic the Hedgehog,"Kids & Family, Adventure, Fantasy, Comedy",11464,Jeff Fowler,61741,146700000,100,2020
Downhill,"Drama, Comedy",10253,"Nat Faxon, Jim Rash",40918,8300000,85,2020
The Call of the Wild,"Adventure, Drama",0,Christopher Sanders,63597,62100000,100,2020
Brahms: The Boy II,"Mystery & Thriller, Horror",11345,William Brent Bell,41443,12600000,86,2020
The Invisible Man,"Mystery & Thriller, Horror",11427,Leigh Whannell,53189,64300000,124,2020
Onward,"Animation, Fantasy, Kids & Family, Adventure, Comedy",11760,Dan Scanlon,47057,60400000,103,2020
The Burnt Orange Heresy,Mystery & Thriller,7956,Giuseppe Capotondi,43549,14380000,99,2020
First Cow,"Western, Drama",8472,Kelly Reichardt,43565,16100000,122,2020
Bloodshot,"Action, Adventure, Fantasy",0,Dave Wilson,58727,10100000,109,2020
I Still Believe,"Romance, Biography, Drama, Music",11147,"Jon Erwin, Andrew Erwin",39935,9100000,115,2020
The Roads Not Taken,Drama,8958,Sally Potter,56326,330000,85,2020
Insidious: The Last Key,"Mystery & Thriller, Horror",11553,Adam Robitel,28988,67300000,103,2018
The Commuter,"Mystery & Thriller, Action",11823,Jaume Collet-Serra,42369,36300000,104,2018
Proud Mary,"Action, Mystery & Thriller",11343,Babak Najafi,53187,20200000,88,2018
12 Strong,"Drama, War",10765,Nicolai Fuglsig,59513,44300000,130,2018
