filem_name,director_rank,rank_of_five_top_stars,film_income,runtime_minuts,release_year,Action,Drama,Comedy,Adventure,Thriller,Mystery,Fantasy,Biography,Family,Sci-Fi,Romance,Horror
The Grudge,10514,47521,21200000,94,2020,0,0,0,0,1,0,0,0,0,0,0,1
Like a Boss,11262,46247,22100000,83,2020,0,0,1,0,0,0,0,0,0,0,0,0
Bad Boys for Life,11591,65925,204300000,124,2020,1,0,1,0,0,1,0,0,0,0,0,0
Dolittle,11526,65767,77000000,100,2020,0,0,1,1,0,0,1,0,1,0,0,0
The Gentlemen,11960,57020,36500000,113,2020,0,1,1,0,0,0,0,0,0,0,0,0
The Last Full Measure,8302,48176,2900000,116,2020,0,1,0,0,0,0,0,0,0,0,0,0
The Rhythm Section,8591,35543,4900000,109,2020,1,0,0,0,1,1,0,0,0,0,0,0
Gretel & Hansel,9856,28782,15300000,87,2020,0,0,0,0,0,0,1,0,0,0,0,1
The Lodge,8457,42229,2100000,108,2020,0,0,0,0,1,0,0,0,0,0,0,1
Sonic the Hedgehog,11464,61741,146700000,100,2020,0,0,1,1,0,0,1,0,1,0,0,0
Downhill,10253,40918,8300000,85,2020,0,1,1,0,0,0,0,0,0,0,0,0
Brahms: The Boy II,11345,41443,12600000,86,2020,0,0,0,0,1,0,0,0,0,0,0,1
The Invisible Man,11427,53189,64300000,124,2020,0,0,0,0,1,0,0,0,0,0,0,1
Onward,11760,47057,60400000,103,2020,0,0,1,1,0,0,1,0,1,0,0,0
The Burnt Orange Heresy,7956,43549,14380000,99,2020,0,0,0,0,1,0,0,0,0,0,0,0
First Cow,8472,43565,16100000,122,2020,0,1,0,0,0,0,0,0,0,0,0,0
I Still Believe,11147,39935,9100000,115,2020,0,1,0,0,0,0,0,1,0,0,1,0
The Roads Not Taken,8958,56326,330000,85,2020,0,1,0,0,0,0,0,0,0,0,0,0
Insidious: The Last Key,11553,28988,67300000,103,2018,0,0,0,0,1,0,0,0,0,0,0,1
The Commuter,11823,42369,36300000,104,2018,1,0,0,0,1,1,0,0,0,0,0,0
Proud Mary,11343,53187,20200000,88,2018,1,0,0,0,1,1,0,0,0,0,0,0
12 Strong,10765,59513,44300000,130,2018,0,1,0,0,0,0,0,0,0,0,0,0
Den of Thieves,10849,45975,44900000,140,2018,1,1,0,0,1,1,0,0,0,0,0,0
Forever My Girl,9581,34825,16400000,108,2018,0,1,0,0,0,0,0,0,0,0,1,0
Maze Runner: The Death Cure,11804,67298,57400000,142,2018,1,0,0,1,1,1,0,0,0,1,0,0
Fifty Shades Freed,11801,45983,100400000,105,2018,0,1,0,0,0,0,0,0,0,0,1,0
The 15:17 to Paris,11976,35695,36200000,94,2018,0,1,0,0,1,0,0,0,0,0,0,0
Black Panther,11897,49556,700200000,134,2018,1,0,0,1,0,1,1,0,0,0,0,0
Early Man,11633,59049,8200000,89,2018,0,0,1,1,0,0,0,0,1,0,0,0
The Party,8958,36134,74890000,71,2018,0,1,1,0,0,0,0,0,0,0,0,0
Black '47,7328,42958,4930000,100,2018,0,1,0,0,1,0,0,0,0,0,0,0
Samson,8367,39928,4700000,110,2018,1,0,0,1,0,1,0,0,0,0,0,0
Game Night,11348,39544,69000000,100,2018,1,0,1,0,0,1,0,0,0,0,0,0
Annihilation,10858,45364,32700000,115,2018,0,0,0,1,1,0,0,0,0,1,0,0
Every Day,11328,31582,6100000,95,2018,0,1,0,0,0,0,1,0,0,0,1,0
Red Sparrow,11977,43675,46700000,139,2018,0,0,0,0,1,0,0,0,0,0,0,0
Death Wish,11565,39996,34000000,107,2018,1,0,0,0,1,1,0,0,0,0,0,0
Gringo,9290,47259,4900000,110,2018,1,0,1,0,0,1,0,0,0,0,0,0
Thoroughbreds,8046,43230,2700000,90,2018,0,0,1,0,1,0,0,0,0,0,0,0
The Death of Stalin,10199,61651,8000000,107,2018,0,0,1,0,0,0,0,0,0,0,0,0
The Strangers: Prey at Night,11219,42215,24400000,85,2018,0,0,0,0,1,0,0,0,0,0,0,1
The Hurricane Heist,11885,47988,6100000,103,2018,1,0,0,0,1,1,0,0,0,0,0,0
Tomb Raider,11424,40117,57300000,118,2018,1,0,0,1,0,1,0,0,0,0,0,0
"Love, Simon",11246,45669,40800000,110,2018,0,1,1,0,0,0,0,0,0,0,1,0
Flower,5135,36607,32740000,90,2018,0,1,1,0,0,0,0,0,0,0,0,0
Isle of Dogs,11675,73292,31900000,101,2018,0,0,1,1,0,0,0,0,0,0,0,0
Sherlock Gnomes,11749,48977,43100000,86,2018,0,0,1,1,1,0,0,0,1,0,0,0
Unsane,11954,33146,7700000,98,2018,0,0,0,0,1,0,0,0,0,0,0,1
"Paul, Apostle of Christ",9985,36787,17500000,108,2018,0,1,0,0,0,0,0,0,0,0,0,0
Final Portrait,9739,53391,46090000,90,2018,0,1,1,0,0,0,0,1,0,0,0,0
Midnight Sun,11292,41268,9600000,91,2018,0,1,0,0,0,0,0,0,0,0,1,0
Ready Player One,11999,46932,137000000,140,2018,1,0,0,1,0,1,1,0,0,1,0,0
God's Not Dead: A Light in Darkness,8814,58266,5700000,106,2018,0,1,0,0,0,0,0,0,0,0,0,0
Gemini,6461,39579,12350000,93,2018,0,0,0,0,1,0,0,0,0,0,0,0
A Quiet Place,11722,47364,68400000,90,2018,0,0,0,0,1,0,0,0,0,0,0,1
Blockers,10964,45589,59800000,102,2018,0,0,1,0,0,0,0,0,0,0,0,0
Chappaquiddick,10086,41832,17400000,101,2018,0,1,0,0,1,0,0,0,0,0,0,0
Beirut,11006,48323,5000000,109,2018,0,1,0,0,1,0,0,0,0,0,0,0
The Seagull,9914,42650,1200000,98,2018,0,1,0,0,0,0,0,0,0,0,0,0
Rampage,11874,45061,99300000,107,2018,1,0,0,1,0,1,0,0,0,1,0,0
Super Troopers 2,11286,40276,30600000,103,2018,0,0,1,0,0,0,0,0,0,0,0,0
Traffik,10953,56024,9200000,96,2018,1,0,0,0,1,1,0,0,0,0,0,0
Avengers: Infinity War,11998,79852,678800000,149,2018,1,0,0,1,0,1,1,0,0,1,0,0
Overboard,10936,46805,50200000,112,2018,0,0,1,0,0,0,0,0,0,0,1,0
Tully,11715,41050,9200000,94,2018,0,1,1,0,0,0,0,0,0,0,0,0
Deadpool 2,11909,48054,324300000,120,2018,1,0,1,1,0,1,1,0,0,0,0,0
Book Club,10938,47344,68500000,104,2018,0,0,1,0,0,0,0,0,0,0,1,0
First Reformed,11020,48517,3400000,113,2018,0,1,0,0,1,0,0,0,0,0,0,0
Show Dogs,11934,72552,17700000,92,2018,0,0,1,1,0,0,0,0,1,0,0,0
Solo: A Star Wars Story,11987,48006,213800000,135,2018,1,0,0,1,0,1,1,0,0,1,0,0
How to Talk to Girls at Parties,9323,39397,8040000,102,2018,0,0,0,0,0,0,0,0,0,1,1,0
American Animals,8862,33549,2900000,116,2018,0,1,0,0,1,0,0,0,0,0,0,0
Ocean's 8,11850,49222,139400000,110,2018,0,1,1,0,0,0,0,0,0,0,0,0
Hereditary,11127,38825,44100000,127,2018,0,0,0,0,1,0,0,0,0,0,0,1
Hotel Artemis,9388,46672,6700000,93,2018,1,0,0,0,1,1,0,0,0,0,0,0
Incredibles 2,11978,48992,608600000,118,2018,1,0,1,1,0,1,0,0,1,0,0,0
Tag,10815,47873,54500000,100,2018,0,0,1,0,0,0,0,0,0,0,0,0
On Chesil Beach,9929,43488,74160000,110,2018,0,1,0,0,0,0,0,0,0,0,1,0
Gotti,8699,46255,4300000,105,2018,0,1,0,0,0,0,0,1,0,0,0,0
Jurassic World: Fallen Kingdom,11906,57613,416700000,128,2018,1,0,0,1,1,1,0,0,0,1,0,0
Boundaries,10612,42607,69840000,104,2018,0,1,1,0,0,0,0,0,0,0,0,0
Damsel,6492,44407,28280000,113,2018,0,0,1,0,0,0,0,0,0,0,0,0
Leave No Trace,9916,34377,6000000,108,2018,0,1,0,0,0,0,0,0,0,0,0,0
Uncle Drew,11026,41071,42500000,104,2018,0,0,1,0,0,0,0,0,0,0,0,0
Woman Walks Ahead,11031,39855,3450000,102,2018,0,1,0,0,0,0,0,0,0,0,0,0
Sorry to Bother You,9670,60282,17500000,105,2018,0,0,1,0,0,0,1,0,0,1,0,0
Hotel Transylvania 3: Summer Vacation,11881,48151,167500000,97,2018,0,0,1,1,0,0,1,0,1,0,0,0
Skyscraper,11811,50630,67800000,102,2018,1,0,0,0,1,1,0,0,0,0,0,0
"Don't Worry, He Won't Get Far on Foot",11639,42186,1400000,113,2018,0,1,1,0,0,0,0,1,0,0,0,0
Shock and Awe,11810,45136,4590000,90,2018,0,1,0,0,0,0,0,0,0,0,0,0
Mamma Mia! Here We Go Again,11571,77445,120600000,114,2018,0,0,1,0,0,0,0,0,0,0,0,0
The Equalizer 2,11880,42140,102000000,121,2018,1,0,0,0,1,1,0,0,0,0,0,0
Puzzle,7445,42541,2000000,103,2018,0,1,0,0,0,0,0,0,0,0,0,0
Christopher Robin,11907,55740,99200000,104,2018,0,0,1,1,0,0,1,0,1,0,0,0
The Darkest Minds,11857,60077,12700000,104,2018,1,0,0,0,1,1,0,0,0,1,0,0
The Spy Who Dumped Me,10818,42772,33500000,116,2018,1,0,1,0,0,1,0,0,0,0,0,0
Never Goin' Back,6608,21075,6110000,86,2018,0,0,1,0,0,0,0,0,0,0,0,0
Dog Days,10760,38374,6800000,113,2018,0,0,1,0,0,0,0,0,0,0,1,0
BlacKkKlansman,11705,58718,48600000,134,2018,0,1,1,0,0,0,0,0,0,0,0,0
Slender Man,11215,49910,30500000,93,2018,0,0,0,0,1,0,0,0,0,0,0,1
Crazy Rich Asians,11891,66046,174500000,120,2018,0,0,1,0,0,0,0,0,0,0,1,0
Mile 22,11902,44602,36100000,95,2018,1,0,0,0,1,1,0,0,0,0,0,0
"Juliet, Naked",10099,51775,3400000,105,2018,0,0,1,0,0,0,0,0,0,0,1,0
The Happytime Murders,10926,55330,20700000,91,2018,0,0,1,0,1,0,0,0,0,0,0,0
Papillon,8863,35070,2300000,133,2018,0,1,0,1,0,0,0,1,0,0,0,0
Operation Finale,11894,51583,17600000,122,2018,0,1,0,0,1,0,0,0,0,0,0,0
Kin,9166,52521,5700000,102,2018,1,0,0,0,1,1,0,0,0,1,0,0
Peppermint,11539,30332,35400000,102,2018,1,0,0,0,1,1,0,0,0,0,0,0
The Predator,11892,44594,51000000,106,2018,1,0,0,1,0,1,0,0,0,1,0,1
White Boy Rick,10102,40862,24000000,111,2018,0,1,0,0,0,0,0,1,0,0,0,0
A Simple Favor,11856,60188,53500000,117,2018,0,0,1,0,1,0,0,0,0,0,0,0
The Children Act,10780,54223,43250000,105,2018,0,1,0,0,0,0,0,0,0,0,0,0
Unbroken: Path to Redemption,10976,33900,6200000,98,2018,0,1,0,0,0,0,0,1,0,0,0,0
Life Itself,9524,47752,4100000,118,2018,0,1,1,0,0,0,0,0,0,0,1,0
The Sisters Brothers,10583,66270,3100000,120,2018,0,1,1,0,0,0,0,0,0,0,0,0
Assassination Nation,8118,53700,2000000,110,2018,1,0,1,0,0,1,0,0,0,0,0,0
The Upside,11691,57653,108200000,126,2019,0,1,1,0,0,0,0,0,0,0,0,0
Colette,10628,29676,5100000,111,2018,0,1,0,0,0,0,0,1,0,0,0,0
Smallfoot,11702,47283,83200000,96,2018,0,0,1,1,0,0,0,0,1,0,0,0
